[General]
A Dildo|Um vibrador
4a07557a-ffe7-49f7-8b11-b8517751fb2e|Unhas. Grandes. Grossas. E muito penetrantes.
4a4ed1ee-9e20-4dc6-9784-f6bf2c8b9758|Está etiquetado como "Roupas Velhas da Madison".
4a6a2141-4ff5-4b5c-be83-54088e9c02ed|Quando os Rezingões fazem coisas Rezingões, é melhor deixá-los fazer. Afinal, é um videogame.
4afdd023-defa-4a45-a044-0981b939c42d|Última coisa: assim que fechar este tutorial, você pode manter pressionado o botão direito do mouse (o padrão) para mover a câmera enquanto conversa com alguém, mas não pode correr, andar, ajoelhar-se ou realizar muitas outras ações. Certifique-se de olhar ao redor e verificar se há pessoas interessadas antes de escolher certas respostas com certos personagens. Resumindo: não diga coisas estúpidas na hora errada, porque as pessoas podem te ouvir. Você consegue, né? Eu confio em você. Adeus!
4b87013c-16fa-4258-bd97-560853ad2455|Nesta casa, você encontrará um computador escondido. Só eu, o mestre da festa, sei onde ele está. É longe, como uma civilização perdida e remota, mas passar no teste não exige sobriedade.
4bcb3aa6-6d68-42b0-85d9-4cfee25b1270|Um enorme buraco vazio onde minha nova amiga Amala costumava estar... ah, que merda. Agora ela está aqui. Eu deveria parar de perder meu tempo.
4bcf78aa-04c6-4f95-8db6-c95e597b26fb|Hmm. Bom conselho, Vickie. A prática leva à perfeição! Ou te aproxima mais. Ou talvez me ajude a me recuperar mais rápido depois de um pouco de "ação". ...Eu deveria continuar praticando.
4bdd5efe-1862-4718-8d9f-964ecb2a3e8c|Derek parece estar recuperando o fôlego depois da apresentação com Doja Cat. Eu deveria dar um tempo para ele.
4c3492d7-98b2-4a16-942f-92eb0180a778|Lety está hipnotizada pelas palavras de Leah, sem saber o quão ruim isso pode acabar para ela. Se a curiosidade matou o gato, então Lety é a maior gata que eu já vi. Eu tenho que salvá-la, de um jeito ou de outro.
4c918f8a-10e2-40c4-a73c-c41d0031c462|*O artigo principal é sobre... Patrick?! Seus olhos são atraídos por uma citação...*
4cb05ab4-4986-4d52-b3d6-d2119fc792f0|Depois de esfregar o grafite no papel, consigo ver o que está impresso na capa do livro. Diz "36-24-36". Hum... deve ser o código do cofre da Madison... ou as medidas dela.
4cd5922d-5743-4f46-9635-45988101daeb|Provavelmente eu deveria ligar a energia novamente mais cedo, ou posso machucar o polegar.
4d9c4e4f-554f-4f18-a4c9-1ddf925d761a|Meu Deus, tipo, coitada da Stephanie!
4da46341-8145-4775-a664-7b3d022e181b|AAAAAHIII CARAMBA... AAH! Por que diabos eu fiz isso? Bem, pelo menos sinto que consigo bater um pouco mais forte...
4ecd5345-5ce8-4992-bf3a-c2cffdfac311|Segure o botão direito para carregar a lanterna de indução e solte-o para enviar um feixe de luz à sua frente. Mas não vai durar muito. Quando a luz se apagar, continue sacudindo para trazê-la de volta à vida.
4ee21de0-c38e-46e3-b3b0-007dba37d465|São as roupas da Ashley e estão no meu lugar favorito: em qualquer lugar, menos nela.
4f35cc1e-50bc-4c5c-8232-351ba519541e|Compubro parece satisfeito com suas ações.
4f880f6c-5f35-417f-b9f6-28110efb2c9d|É um copo. As pessoas colocam coisas nele. Pode me lembrar de onde você é?
4fd0a97e-1d45-4b51-9016-19b011bc926d|Certo, faça isso com elegância no meio das chamas...
502d30a9-b635-464d-bb5f-418a92f20eca|Brittney está linda com o vestido que comprei para ela.
5045bd8e-5f21-4c75-b3a3-50b99426ad27|Você ativou o bloqueador de frequência.
50c5c648-d2f5-424d-adc8-7f6e98bf447d|Isso deve dar a ele um pouco de energia e vitalidade.
50fee72b-9c73-404c-889e-52bcf79baea3|Antes de ligar a música para chamar a Doja Cat, preciso cuidar da fantasia do Derek.
517a9c79-77ea-4434-9fe4-bce291483592|Uma engenhoca empoeirada em forma de pinguim com uma mão torta e um grande buraco na frente. Bem assustadora... e pesa bastante. Quem diabos a trouxe aqui?
51e7811d-42e3-4c33-bcaa-cfcb8df06489|Não é fácil de encontrar, então, se você perseverar, terá que procurar, mas se olhar com atenção, conseguirá sentir o cheiro dos meus peidos. Como um túnel estreito que leva ao tesouro de Al Capone, quando você o encontrar, vai se masturbar com paixão!
51e7811d-42e3-4c33-bcaa-cfcb8df06489|Não é fácil de encontrar, então se você olhar com atenção, vai conseguir sentir o cheiro dos meus peidos. Como um túnel estreito que leva ao tesouro de Al Capone, quando você o encontrar, vai se masturbar com paixão! 52bb45d7-d502-4962-af66-6f679aa03868|Sim, é uma jacuzzi.
531a1d3a-8906-4dc2-9882-71f7a8dbac43|É melhor eu ir treinar antes que aqueles desenvolvedores sorrateiros me façam lutar contra o Exterminador do Futuro...
533dd770-8469-492f-9ffb-9eff393637aa|Por que a Madison tem uma maleta? Ela está secretamente bancando a advogada?
534a7d3c-2f5d-4c32-9912-f2f116c36b6f|Que porra é essa de "Sancho, o Remorso Sleazy"? A etiqueta atrás diz "Pendure Sancho na sua parede e aproveite horas de assédio verbal! Divertido e degradante para toda a família!"
536d3f0c-4fe2-4b99-83bd-78bcd8216327|Uau! Lembrete: tudo o que acaba lá dentro está perdido para sempre. Espero que o sacrifício tenha valido a pena...
54299277-17eb-4abf-9b69-a969bf45a458|Mhh. Vou tentar "foda-se a Madison"!
546fa76d-1740-44b0-9d00-72afca701581|As coisas ficaram bem feias. Além disso, cheira a frango. Bela jogada, desenvolvedores.
547db634-f48f-436a-b8a2-d078b5d2153e|Parece que tem alguma coisa do outro lado da ventilação. Uma possível pista? Talvez eu deva chamar o Detetive Katz aqui.
54e77abb-6122-4f34-837a-0a700b326d43|Provavelmente não deveria abrir as saídas de ar se estou tentando tirar o assassino, certo?
554310e3-6c9c-4e9c-a81b-ed680e9b4f75|É um botão perfeitamente comum saindo do chão ao lado do mirante. Provavelmente controla as luzes ou algo assim. Por que você está tão interessado neste botão? Não tem nenhuma celebridade em algum lugar para você incomodar?
55b770f8-4500-4ec7-a237-160f83c1e551|Ei, as roupas estão prontas! Perfeito!
55d7dbf8-05ec-4cb8-a141-bc470b84d026|Amy não quer conversar agora.
55ec75b3-275b-4dec-9689-f96c823fb91e|Uma foto adorável de um gatinho. Talvez seja da Madison?
5632ada3-1430-4298-95f4-c576fcdbc466|Por que eu me masturbei mais cedo?! Preciso esperar para recarregar minhas baterias de esperma... reabastecer meu estoque de esperma? ...encher meus tanques de sêmen? Ah, bem, vou pensar nisso depois...
571837f8-16e8-4375-9d56-d7e0ea147284|A atenção do Derek está completamente focada em algo. E não sou eu, seu fiel amigo. Inaceitável!
5746c895-86b2-4be8-8689-679ce98971cc|Isso... foi claramente uma piscadela...
57a003e7-ae16-4a9e-9a8b-441412afa7df|É a Liz Katz! Me dá vontade de rolar um d20 para Carisma. Pena que não tenho nenhum modificador bom.
57b9a379-aea7-4fec-bc86-838de3787241|Nossa! Olha aquele carinha fumando como se fosse o Snoop Dogg!
57be6722-c63d-4596-bce9-14a7e491d963|Acho que ele não precisa de nada agora...
57c86c9f-5de8-4863-9bd0-a81b082752a2|Ótimo! Agora só preciso colocar um alto-falante lá fora e ligá-lo para a Doja Cat saber que estamos prontos.
58c25289-7f30-4425-9900-d4be99fa3326|É a Doja Cat, a vencedora do Grammy!
58fd970b-6b8b-4b5b-be3e-dc22eb17c697|Merda... Preciso de um momento para recarregar as energias. Talvez se eu virar... AI! Merda! ...Não, preciso esperar um pouco.
593247fc-f522-4ad4-a8b0-d6ca23122eb3|Este refrigerante foi "enriquecido" com laxantes. Pessoalmente, odeio quando mijo até a morte.
5a109d0a-8351-474d-bbc7-155ffda6c682|Hora de martelar! Isso deve ser o suficiente para destrancar a porta.
5a36934f-86cc-4be6-be36-56075f39e9e2|A janela de memórias exibe todos os pensamentos, dicas, narrações e mensagens de tutorial que você viu anteriormente enquanto jogava. Você pode voltar aqui se perdeu uma dica, quiser reler um tutorial ou não acreditar como nossas piadas foram ruins. Ok, "fazer", no presente do indicativo. As memórias são exibidas no topo, da mais recente para a mais antiga. É isso. Tchau!
5a3d893d-2bf2-4bc2-b4bd-7866ff63f934|Provavelmente é o objetivo final, o chefe do jogo final, o... Merda. Sou um perdedor. Meu pau... não está pronto. Droga.
5adb4979-96d2-4c0e-b864-57999919a697|Legal! Uma caixa de som Wi-Fi! Até funciona com bateria! Madison não brinca em caixas de som.
5b34b9be-0b74-4240-b0a7-c4fa700ad515|Pfft. Mac de merda. Compre um PC. E escolha uma senha melhor.
5b77cbea-b618-4b48-944b-2b864f116370|Liz Katz está curtindo seu tentáculo. Acho que não há muito mais que eu possa fazer com ela esta noite.
5beba5a6-93b5-445d-9a96-a2174f34b221|Algo me diz que esta maleta é um item único! Mantê-la no inventário antes de passar para outros conteúdos pode levar a maravilhas... ou horrores incalculáveis. A escolha é sua!
5c182f4d-8886-4824-99e9-39fd953369f5|Compubro permanece estranhamente silencioso... Talvez ele sinta a ira iminente de Derek?
5c20aa53-f754-4452-8491-c499f1e89345|Parece que a faca está presa no ar-condicionado. Devo dizer à Liz que encontrei outra pista.
5c8d095b-1e7d-49b2-b68b-8499c72fc370|Se ao menos fosse tão fácil pegar aquela chave da blusa da Ashley.
5cd91de9-b582-443b-985f-54b0d2afbf7f|Pronto. Amassei a barra de chocolate e coloquei no copo. Está feliz agora? Agora ela vai voltar para o meu bolso...
5cd971e0-0621-4d87-9268-60ce22f72924|Você ligou o bloqueador.
5cddac33-c585-4513-a52e-884a16945718|*Despeje os laxantes no rum*
5d097107-935c-48c5-bc22-f233de6381bf|Suas experiências com Leah aumentaram sua resistência física em 2,94 quatrilhões cúbicos! Isso reduzirá a frequência com que você é atordoado e reduzirá significativamente o dano que recebe!
5d5b8e40-1264-4a4b-874f-e4a25c38dc98|Sério, Hermione Granger, onde você acha que vai enfiar isso?
5d7391be-f111-4473-a2a9-46cefad0c6c5|Se quiser verificar seu inventário, pressione "i". Precisa se lembrar do que precisa fazer ou reler uma dica? Pressione "o" ou "m" para abrir as janelas de oportunidade e lembrete. Quer dançar ou tirar a roupa? Use a tecla "y"! Por fim, a tecla "TAB" pode ser usada para ocultar ou mostrar certas partes da interface, como a mira do mouse, a barra de orgasmo, a barra da bexiga, a barra de combate, etc. Ah, e para sua informação, um tutorial mais detalhado sobre algumas dessas coisas pode aparecer mais tarde.
5dd5a60b-e0bd-42e0-af7d-c6d59bde1e42|É uma garrafa de Chardonnay. Frank deve ter perdido. Está bem ali na prateleira.
5e1b97e3-7756-41dc-bea8-d65ffe02ce7a|Rachael está quase chegando, estou quase lá!
5e4a8694-3aac-41e5-a4eb-597a20cfe79c|Acho que esta é a melhor vista do exterior... Tenho minhas dúvidas sobre o quão artisticamente inspiradora uma paisagem suburbana pode ser.
5e917afa-1f80-451e-b763-66351bc23ad0|Ah, é verdade, aprendi alguns passos de dança esta noite. Será que vão ser úteis...
5ebb3e12-8044-49aa-8b53-19adbae58e3a|Ele está quase gozando, estou quase lá!
5f243845-3f36-4565-908f-bea46a9aabea|É hora de lamber a língua! Quem estiver fazendo o trabalho precisa mexer as mãos e a língua para agradar o parceiro. Se você é quem dá prazer, isso significa mover o cursor do mouse! Quanto mais rápido você movê-lo, mais rápido seu parceiro terá um orgasmo. Se você é quem recebe, bem... relaxe e aproveite o momento!
5f3d066b-47dc-4e96-90b6-c74781aa95ec|Quando terminar de envergonhar a si mesmo e aos seus entes queridos, pressione o botão "ESC". Ou qualquer outro que você tenha definido para sair dos menus. Você poderá então ver as fotos que tirou interagindo com a câmera novamente no seu inventário e selecionando "ver fotos". Entendeu? ...Essa foi uma pergunta retórica. Até mais.
5f990f9e-fe31-4bae-8a2a-c1ce400c2a1a|Hmm, estou vendo o jardim ao lado. Será que a Madison sabe sobre este buraco...
5f99dfb7-19df-44e7-9924-841754d0d34e|Ahhh Natty Lite. A cerveja favorita dos universitários falidos.
5fa9daac-f352-4c1b-94a2-73d7275e2c58|Não sei se consigo recomeçar agora. É melhor esperar alguns minutos para recarregar.
5fc70018-34c5-4e1a-bc68-65ed8be453c2|Obrigado por baixar o DLC de Dia dos Namorados! Deixamos um presente especial no seu inventário para ajudar você a conquistar um convidado de sua escolha. Escolha com sabedoria e Feliz Dia dos Namorados!
602bc6db-c5eb-486f-b9ec-54f2527a3e25|*No verso da garrafa está escrito: "Gut Grip, porque sua vida já é uma merda o suficiente."
602cef0e-63c4-4365-befd-fae6ce757897|Dildochu, use acesso venoso!
612f50c3-49eb-4d87-b6b9-704fcf3fd6f5|Droga, ele trancou a porta! Não que invadir o quarto seja muito útil... Será que tem outro jeito de ver o que está acontecendo lá dentro...
61412529-2ca7-4cce-8042-bcd297771f99|Hum. Provavelmente uma má ideia agora. Aliás, estou errado ou a Ashley queria me comer? Acho que ela fez algumas insinuações sujas... duplo sentido sexual...
6147fd48-3ca6-4f5a-9bd8-a8d006cd72e3|Legal, uma cantina. Não sei se seria útil aqui, considerando a situação do álcool, mas é melhor eu roubar mesmo assim.
61595c87-1ef8-4467-933c-4975ed0a6f73|Acho que ele não estava brincando quando disse que faria qualquer coisa por mim, até me dar a camisa dele...
62e8af73-5e3e-4535-acc4-278546573a89|Este é o Derek... e esta é a saliva dele. Ele está inconsciente.
643f2aed-75c2-49cb-9e33-248548f1d605|Aparentemente, ele está cheio de "Coquetel da Morte"... a surpresinha da Rachael para o Patrick. Será que é tão forte assim?
64fdb923-9e26-43c3-bd62-4726a6199ac2|{Player:CurrentDialogueFocusTarget} parece ter outras coisas em mente. Ou talvez ela tenha encontrado algo mais interessante do que a perspectiva da minha empresa. De qualquer forma, talvez eu não consiga falar com essa pessoa sobre... hã, merda. O que eu estava tentando fazer?
65160cdc-91e0-427f-9d8e-3c283ec39eb2|Hmm. Acho que está funcionando agora, mas não quero que exploda na minha cara. Melhor esperar a Katherine confirmar.
65a787b5-c541-4597-8046-96b05f6e03bf|Ahh, Whack Spankiel. Com um pouquinho de Coca-Cola, essa é minha bebida favorita. Pelo menos é o que eu digo aos outros. Sinceramente, acho que tem gosto de merda, mas pareço tão legal quando bebo.
65a8dc0b-4677-444a-8061-fbe7e37a1a34|Uma das travas está quebrada. Madison não a usa há um tempo.
65f31561-28d5-4a0a-96b8-12f005093d9e|M-Mãe? É você? É difícil de ver... está queimando, queimando! De nada, Katherine... Ashley... quem quer que você seja. Merda, aí vem!
66282d9a-fe4a-4516-9ee1-30136778f9fa|Estou errado ou tem algo dentro da boca dessa cabeça congelada e Decapitada?
6646571f-5e9b-4c7e-b6c1-6adefe8ae83e|Acho que essa coisa não pode ser levada ao micro-ondas. A única coisa pior que câncer é câncer quente e parcialmente derretido.
66698f46-bbed-4f1d-899b-3fe1b38ce630|Ok, faça com elegância nas chamas...
6733aac8-8a2b-4ace-96e8-6d702297b626|Bem... pelo menos entendi a mensagem.
6777b667-ca22-45cb-b587-a876ad92b90f|Ela é a única, a única... a sexy... Liz Katz!
67ca9a09-0b4b-4513-b728-aa5bc849016d|É o diário da Madison. Eu adoraria ler, mas tem umas garotas com quem eu poderia transar.
6809ebb5-1f41-437c-927a-780298b69880|Ok, seu pervertido, você conseguiu. A câmera está pronta. Para tirar uma foto, interaja com ela no seu inventário e pressione "tirar foto". Em seguida, aponte para o seu alvo e pressione o botão de interação novamente.
689a0b85-3b0f-4c0c-9e2f-9e4542cb078b|Por fim, se você segurar "S" ao atacar, usará um "super movimento". Esses sempre causam entre 75% e 100% a mais de dano. Eles quase sempre causam um atordoamento mais longo no alvo. Além disso, o efeito de atordoamento de um super movimento ignora os bloqueios do oponente. Então, desvie com os botões de movimento e use um super movimento para atordoar o inimigo, depois continue atacando para causar dano insano! Boa sorte!
68dccb52-7c2e-4360-9b8d-53bbfbb27431|( . Y . )
68ebd131-1094-45b6-a37b-47b542e5a443|Deixa eu só colocar isso aqui...
68efbf32-c7b4-4a20-b89a-41301060d149|Agora mostre uma fera celestial magnífica... e seu pau enorme. Seria mais estranho se tivesse tentáculos?
69118017-1e4a-488f-92a2-76a0476cdec4|O que eu acabei de te dizer? Você escuta os pensamentos que aparecem na tela? E então se pergunta por que precisa de orientação.
69cba89a-3439-43ea-9b50-7bc399b5b552|Este café está tão quente! É incrível como consigo mantê-lo no bolso sem me queimar de terceiro grau.
6ab10c69-f153-428b-8fec-7fd775364ae7|Ugh, preciso de um minuto para recuperar o fôlego.
6ac167e2-8d8c-42f1-b4c7-f98ff4d44888|Espera aí, estou em um RPG? PORQUE É HORA DE SAQUEAR, CARA!
6b0c0b4a-413e-4b51-a340-dceac065359d|*Coloque as roupas da Ashley na secadora*
6b90338e-14c3-4185-b6c4-2a823cd55965|Leah prefere lutar a correr. Mas ela não tem tempo para falar comigo.
6c40fa18-972f-4001-8705-dae43185c102|Design fofo. Isso deveria cobrir completamente os olhos de alguém.
6c4f8602-51f1-4a71-b067-e70672ccc3ff|Este é provavelmente o objetivo final, o chefe do jogo final, o... Merda. Sou um perdedor. Meu pau... não está pronto. Droga.
6c57f5b5-b4c8-473a-a893-8f236543472a|Modo de reprodução alterado. A playlist inteira agora será reproduzida em loop.
6d1501d0-d1d7-451b-bf21-76c617d91601|Droga, está tudo tão mole. Acho que vou ter que esperar um pouco para recarregar.
6d403b07-0622-4594-94df-765d5aa820fd|Toma isso, sua fechadura idiota!
6d422bd9-cf89-464b-846d-684be7a19153|Bem, não durou muito. Acho que preciso de algo maior que não estrague tão rápido.
6d61e6af-7f26-44a0-b293-8fca79d048bf|Correr pela casa valeu a pena. Sua velocidade de combate aumentou um pouco!
6d647339-7b9b-4f3e-85a7-0d4607343633|Ótimo, já tenho o café e a chaleira. Só preciso colocá-la no fogão e ligá-la. A chaleira deve me avisar quando estiver pronta.
6d833606-2bda-4b32-901c-5068d0a7d476|Isso deveria ser...
6dce21c4-c6fb-4896-8aa6-3cd80bcbb8aa|Um lugar onde guardo minha coleção secreta, uma conta do Instagasm, para minha masturbação, com tantos peitos que me deixa eufórica, mas a ideia de encontrá-la é pura fantasia.
6e300ea8-6664-46d9-a3b3-09cc49724f4c|Será que molho ranch goza?
6eff2b39-24e8-4d6e-8174-715c00422e92|É melhor eu recarregar minha energia sexual por enquanto... Não quero decepcionar a Katherine. De novo. Espera... isso é possível?
6f31473f-f9aa-456a-a1ef-e77c86a4e50e|Estranho. Tem uma garrafa térmica na vitrine. Parece fora do lugar...
6f783d10-765e-47ba-a906-d319966a6b8d|Agora só preciso de algo para iluminar esta magnífica vitrine de produção de alta qualidade.
7046e229-64f0-48be-8ecb-8a19d1490e78|Não preciso exatamente ir ao banheiro. Aliás, minhas melhores ideias surgem quando estou sentado no vaso sanitário!
70c2fdb2-67de-466c-8b45-8ac2866765ec|Que cheiro é esse...?
70ed08be-feb5-42a3-af57-4004e84c96bd|O caderno do Patrick, cheio de desenhos e rabiscos infantis que parecem ser algum tipo de código.
715ed182-5368-44e9-b020-7e1bc9dcfb65|Ah, sim! Acho que ele terminou o aquecimento! É hora de subir ao palco...
717cf1f1-6fe9-4aac-94b2-4d70a9aa9cfc|Ah, e se você quiser apalpar essa pessoa, precisa usar o botão direito do mouse (o padrão). Lembre-se de que você só pode apalpar a bunda ou os peitos dela (ou o peitoral de um cara!), e somente se ela estiver na sua frente, imóvel e perto o suficiente. Você também pode fazer isso durante atos sexuais, e se tiver Sexo Interativo definido nas opções do jogo. Bem, é só isso.
729b3710-f91b-4745-b825-6a3e750ef3e6|Legal, uma fogueira! Quem me dera ter uns marshmallows...
72be308e-4d63-497c-9b0c-61054a270d84|Nesta casa, você encontrará um computador escondido. Só eu, o mestre da festa, sei onde ele está armazenado. É longe, como uma civilização perdida e remota, mas passar no teste não requer nenhuma sobriedade.
735478f9-f82c-4eb6-a9ee-a4feb01ed64d|Ah, certo, acho que essa coisa precisa estar perto dos Grumps para fazer seu trabalho. *suspira* ...É melhor eu chegar mais perto.
73a58849-5a65-44af-aa4a-c18e49565d67|Ótimo! Agora eu tenho uma flor azul!
74104912-1bd6-43c2-91c2-e96a9107e41a|A Lety parece muito simpática, e como ela é professora particular, deve ser claramente inteligente. Mas o fato de eu tê-la trazido aqui sob o pretexto de uma "Aula de Emergência" me faz pensar que ela é ingênua.
7419feaa-b3ad-4573-b931-5bb0748257d2|Escutem, meus amigos, eu consigo ver o futuro. Vai ser incrivelmente quente, eu garanto! Eu controlo o calor, e não estou brincando. Resolvam este quebra-cabeça, ou vai ficar ainda mais quente!
7433c9cb-0f64-46c4-8dac-0b36b5e53537|Não faço ideia de qual seja a senha...
743ec9b0-a432-49eb-835c-d7869920f392|Parece uma porta de tela elétrica como qualquer outra. Tem alguns furos na estrutura e é claramente antiga... parece perigosa.
74609239-6f4e-44bb-937a-7eff2d0f5fb9|Um lugar onde guardo minha coleção secreta, uma conta do Instagasm, para minha masturbação, com tantos peitos que me deixa eufórica, mas pensar em encontrá-la é pura fantasia.
747b5c24-ca37-4dc1-9221-294b85be91b8|Doja Cat parece distraída no momento. É melhor eu deixá-la em paz até o apagão acabar.
7491b41a-9bde-475f-b63f-82ac47ca76f7|Como você pode imaginar, a única faixa disponível continua tocando em loop. Sorte sua, você conseguiu o que queria!
74984e8c-8449-49bd-a44a-db6f1cce9b57|Além disso, você levou a sério o conselho de autodefesa da Leah e agora pode bloquear ataques segurando o botão direito do mouse (padrão) no modo de combate! Além do enorme aumento de vida que você ganhou, bloquear ataques também reduz o dano pela metade. Mas tenha cuidado: bloquear um golpe consome energia e, se você estiver com pouca energia, não conseguirá bloquear com eficácia!
74e45472-08c6-4094-9bc7-0f216ba32aaa|Arin Hanson! Parece que ele está esperando no canto a Doja Cat terminar o show.
751651d7-2200-4a4e-bd74-31b17086aff0|Preciso de mais assinaturas para o Derek levar isso a sério.
75275475-38b7-4f35-a5d4-f1f901ebd002|Está um pouco alto. Estou tão desesperado assim? ...Ou tão preciso com esse tipo de dispositivo de perfuração? Acho que posso tentar.
7546cfa5-f2c6-4be0-b186-88446d757c92|Os Grumps são um negócio com tudo incluído, melhor esperar que aquele que fica cantando covers do Peter Gabriel termine o que quer que esteja fazendo.
7555a143-9888-4e6e-9200-9bb609c9b482|Quem sabe de quem é este telefone...
757a1e7a-d0c6-4b5e-9219-b0cbb4dcf0a1|O antigo recipiente de uma grande cobra. Agora é apenas uma triste caixa de vidro.
769b781a-6023-4dce-8852-a80f6dfe6200|Mesmo na morte a diversão nunca acaba, onde estou posso transar com mulheres bonitas. Uma festa para mim no meu quarto escondido, uma realidade virtual, vai ser difícil entrar!
76ed55f7-5627-446e-b962-ff2c2cd472b4|Mesmo que você tenha mexido na bebida, você a engole sem nenhuma vergonha. E sem nenhum remorso.
773ebb03-6d23-4239-9b2d-5456f8676f37|Parece uma vassoura qualquer.
77a3699b-14a6-46dc-b2ad-9896a2341e02|Leitor digital... dissipador de calor personalizado. Isso sim é estilo! Dê uma tragada e você nem terá medo do Frank.
77a3853f-6c62-4927-9d0d-50380b3980a8|Enquanto estou conectado à conta da Ashley, convido a Lety para uma "aula de emergência". Lety diz que está vindo! Roubo de identidade +1!
78ee9b6c-7b2d-4030-8f1e-99dc1fbd6f05|É a isca perfeita. Só preciso colocá-lo em algum lugar de onde ele não tenha chance de escapar. Só o medo de altura e a obsessão pelos mamilos dela poderiam mantê-lo preso...
78f59c81-8c2a-4afe-a1fb-4513535a3f17|Aaahhhh... depois de três anos, finalmente posso me libertar. Hmm, será que isso é um recorde mundial...
78fb95a1-9403-4301-bcb4-e08bbee5f06c|Nossa, pesava uma tonelada. Bem, não parece ruim, mas sempre sinto que falta alguma coisa...
79724a64-56cc-4c01-97ba-f02b0f7d2e6d|Parece que a TV está conectada pelo adaptador. Eu deveria conseguir controlar o MP3 player. Ah, os anos 2000... meu coração dispara só de pensar.
79a58bec-a346-472c-b8fc-a691b700ff38|Poder das flores.
79cf85c2-9054-4850-b1f3-3d00293e9e86|Parece quebrado. Tem uma etiqueta na lateral que diz "Somente para uso do tutorial". Estranho.
79e4dd94-bd3b-44ee-bab7-2f8a3733ce2d|Muitas pessoas estão prestes a ver minha exposição de "arte"... incluindo a Ashley. Vou ter que esperar elas terminarem.
7a63c72a-2ec8-413b-819b-8e551bd6452a|Parece que um dos disjuntores desarmou.
7aa44a24-bb15-4a60-b7a4-7bd939f25cca|Faça o que fizer, não coloque isso no micro-ondas.
7ac4af86-e292-41e6-8f3f-c4f36f12a6e8|Este é o seu inventário. É tão... grande. Então... hum, desculpe, *pigarreia*. Quando um personagem lhe dá um item ou você "pega" um item usando o menu radial, ele aparecerá aqui.
7ad57a83-3461-4f2c-90b1-c5bfda7adb5e|A garrafa fica presa no fundo da lareira, sob as brasas. Não adianta tentar recuperá-la. Esperemos que Lety não precise dela... ou que ela tenha alguma ideia brilhante se precisar.
7afcf02c-dd48-4e40-b9b1-b3ba08cfa683|Ugh, eu realmente preciso carregar isso no bolso agora? Não posso ficar com isso flutuando a noite toda. E se eles virem? Causaria uma histeria em massa!
7b1af29a-5c7e-422f-adff-e5c4bfa279f2|Parece que a tela está exibindo uma mensagem de erro.
7b477356-72f0-4f6c-a7f8-f087b017e9ef|*Gulp!* É o grande momento, e eu ainda preciso recarregar as energias lá embaixo. Melhor esperar um pouco primeiro...
7b94b23f-ba90-4127-a8ff-ac269e2635c9|É melhor eu terminar com a mala/coisa do bairro/sei lá o que for do Patrick. Acho que estamos quase lá.
7c028396-9d1e-409e-ba0c-cbda50519d76|Está ainda mais limpo agora do que antes de eu explodir a cabeça do Patrick.
7c09bc36-a383-4bd8-a445-24d1587bc2f0|Lambidas mútuas! Incrível. Mova o controle deslizante para dar prazer ao seu parceiro! Quanto mais rápido você movê-lo, mais rápido seu parceiro terá um orgasmo! Ah, eu tinha que te contar. Você deve ter visto aquela série estilo reality show do Brazzers. Ok, mãos à obra!
7c7189a5-099e-498f-a267-9ab35fb71066|Parece que tem algo do outro lado da saída de ar, mas ela não abre.
7cf3345b-41d1-4924-8da9-70aa69e45afe|Hmm... quem é ela? Nossa, ela realmente tem um corpo incrível! Mas ela parece ter... problemas de controle da raiva.
7d9d84f1-fed1-439f-b4a8-7cffb21b5bd0|Hmm. Parece que é o roteador principal que fornece Wi-Fi para toda a casa.
7dbf5310-7a6c-44eb-bb7b-250130151f16|A proteína que você obtém comendo um saco inteiro de ração te dá um pequeno impulso de saúde e te deixa um pouco mais forte!
7e13f7fa-ccfc-4d9b-9bda-927f7749cb06|Então, tire a camisa, a festa está ficando intensa, você se sente como se estivesse derretendo, o ar está muito denso. Se quer um conselho, comece a se despir, quebrei alguma coisa, descubra o que é ou continue suando!
7e956204-0a21-4945-8edd-29be42dcf7d4|Parece um dos cartões de crédito antigos da Madison. Está vencido.
7eb8062c-24e8-4a8a-9d19-1028da6370c5|Acho que essa é a maneira da Vickie recarregar suas baterias sexuais. Não para mim, mas cada um na sua. Melhor dar a ela alguns minutos.
7ec445db-ead2-4aa0-9ea0-cbaeb6eae520|Mesmo na morte, a diversão nunca acaba. Onde quer que eu esteja, posso transar com mulheres lindas. Uma festa para mim no meu quarto escondido, uma realidade virtual, entrar vai ser difícil!
7ef99d10-0705-4dd6-8b65-58261630111e|Esta é... a infame fantasia do Dinolicious?
7efababb-d82a-4276-a55a-2fbf5b93ecf9|Não era isso que eu esperava ver esta noite.
7f68dc0d-2917-4c02-8904-0a9f90d7f624|Uma voz fraca vem da floresta: "Como você está...?"
7fa9738b-4ca6-4af1-805b-4db17d6ec72b|*Nota do desenvolvedor: É melhor usá-los no início de um novo jogo.*
7fd8caf8-01e7-432c-887d-cdaa4bad698c|Tem um artigo sobre um bilionário misterioso na capa. É... sei lá, parece esnobe demais para o meu gosto.
80057ae8-93ca-4f1a-93d5-1b046f3e9e96|Droga, acho que não tem muito álcool sobrando nesta festa. É melhor pensar duas vezes antes de usar o que tenho...
80430f2e-f2bf-49d3-b873-f5fdae7b23de|Perfeito! Isso é... mais artístico?
804aae13-8b8b-4f6b-adac-701e36e703a1|Eles estão te atacando, por que você está examinando o assassino?!
