[General]
Name|Ashley
240|Hum, muito fodido, cara. Totalmente fora de cogitação. Mas vou guardar esse seu momento humilhante para mim, em vez de o Frank rasgar o esfíncter dele na sua garganta, e em troca, você faz isso por mim. Que negócio, né? Pronto para ir, hein, campeão?
241|Ugh, acho que eu não deveria estar surpreso. Certo... aqui, pegue.
242|Certo, bem, isso também está na SUA cabeça, hein? Mmmm... é, acho que posso me divertir um pouco. Mas vamos nos concentrar, hmm? Pense em como eu ficaria grato se você me ajudasse. Como eu seria enérgico e... minucioso com a minha gratidão.
243|Dizem que Derek ainda está falando, no presente, sobre seu "precioso Pergie" — sabe, que tipo de nome é esse para um animal, afinal? Estou surpreso que a gata não tenha SE matado, sei lá. Não parece que você fez o que eu pedi. Tenho certeza de que ela tinha seus motivos... mas, só para eu saber, vou me lembrar.
244|Mmmm, sim, minha protegida? Precisa que eu te mostre mais alguma coisa?
244.1|Céus, você está fazendo pedidos agora? Sim, eu permito.
244.2|Caramba, isso é incrível. O que mais você tem?
244.3|A propósito, estou aceitando pedidos...
245|Você e eu, indo para algum destino misterioso? Talvez da próxima vez você devesse aquecer uma garota um pouco antes de tentar atraí-la para algum lugar escuro e extrair seus órgãos? Eu passo por enquanto.
245.1|Não. Agora cai fora. Ajudaria se eu dissesse "por favor"?
245.2|Ah, eu, você, fugindo para uma área desconhecida, possivelmente mal iluminada? Com certeza. Então, para onde?
246|Hum. É uma pegadinha ou algo assim? Por que eu iria querer ver o par de bolas enrugadas e caídas de alguém? Bolas são atraentes para alguém? Eu sinto como se elas simplesmente estivessem lá, e temos que lidar com elas. Elas são tão estranhas e nojentas. Só de pensar nisso faz exatamente o oposto de me excitar.
247|Por que... essas palavras tiveram que entrar nos meus ouvidos esta noite? E por que elas tiveram que vir de você? Nota para mim mesma, Ashley; Reavalie seu círculo social. Não, não... reavalie sua vida inteira.
247.1|Desculpe, mas... que diabos? Vamos tentar um assunto diferente, pelo menos até nos entendermos melhor. Hmm, ok? Talvez nossas cores favoritas, ou qual dona de casa de verdade é a mais vulgar... é, é assim que você e eu estamos agora.
248|Cara, esse é o vestido da Madison. Você pode não ter notado — ou, mais realisticamente, provavelmente notou, o que me faz pensar por que tenho que explicar isso para você —, mas não somos exatamente do mesmo tamanho. E, além disso, eu não estou usando isso. Não estou dando essa satisfação a ela. Vá pensar em outra coisa.
249|Cara... simplesmente, não. Nossa...
250|Jesus. Nossa. Cristo. Estou sendo provocado? Estou sendo provocado, não estou? É a única explicação. Por que diabos eu concordaria com algo tão ridículo com alguém que mal conheço e que tem menos integridade do que um vídeo do Jake Paul? Argh, tá bom, tá bom, tá bom... Da próxima vez que a Madison der uma festa, eu tenho que sair da cidade.
250.1|Uhhh... Eu sabia que as amigas da Madison eram estranhas, mas nossa. Nossa mesmo. Quer dizer, talvez seja só eu, porque admito que minhas habilidades sociais podem ser um pouco deficientes às vezes, mas o que te deu a mínima indicação de que eu estaria remotamente interessada em algo assim com vocês dois? Alguém? Bueller? Tá bom, foi o que eu pensei. Agora, se me dão licença, eu vou... hã, para outro lugar, menos aqui.
250.2|Hum. Sério? Quer dizer, é, tá bom, você me fez concordar com isso antes, mas a merda que você fez entre aquela época e agora? Eu nem sei por que preciso explicar por que vai ser um grande não da minha parte. Por que você não descobre como vai compensar por ter sido um completo babaca comigo, e aí talvez a gente reveja essa conversa, hmm?
251|Tá bom então! Vocês dois não são cheios de surpresas? Bem, não posso dizer que não estou intrigado. Mas certamente não estou convencido. Nós nos divertimos hoje à noite, mas esse tipo de diversão... por mais divertida que seja, bem, digamos que eu já tive a minha cota o suficiente para saber que você simplesmente não faz isso a menos que haja um bom motivo. anexado.
252|Você é tão cheio de merda. Tá bom então. Claro que nos divertimos hoje à noite, mas mesmo assim acabamos de nos conhecer. Não aja como se isso fosse algo maior do que é. Não, olha, era disso que eu estava falando. Muito drama para mim. Tô fora.
253|Hmm, eu levo isso como um elogio, ou você só está se achando? Olha, eu não sei por que você está tentando me convencer a aceitar isso, mas tem algo suspeito. Eu não sou esse tipo de drama. Tô fora.
254|Eu sei. Confie em mim. A Madison não vai calar a boca sobre o fato de estar aqui. Eu só não tenho a mesma atitude deslumbrante, eu acho. Sem ofensa, Srta. Vixen. Você é legal e tudo, e eu respeito o que você faz, mas isso não significa que eu queira transar com você. Desculpe.
255|É. Sabe, você não está errada. Eu não só odiaria, como ficaria com um ciúme do caralho. Já te contei da vez em que a peguei se masturbando assistindo a um filme de gangbang gótico? Meu Deus, aquele foi o momento mais constrangedor da minha vida — e da dela, tenho certeza. Nunca vou deixá-la esquecer isso. Ela adora a Vickie. Isso poderia melhorar a minha vida em mais aspectos do que o óbvio. Sem mencionar que parece bem excitante. Ok, estou dentro. Mostrem o caminho!
255.1|Eu estava me perguntando quanto tempo levaria para eu ter notícias de vocês dois de novo. Quer dizer, sim. Ainda estou a fim, se vocês estiverem. Devemos?
256|Quando exatamente isso virou uma festa sem roupa? Ou você recebeu o memorando errado ou está muito longe da reação que esperava.
256.1|Sinceramente, não sei qual reação você esperava agora, mas essa conversa não vai rolar. Vai se vestir, idiota.
257|Ei! Shhh, rápido! Não é seguro, se você me entende. Isso. Foi. Incrível. Você se superou, e muito. Seu relacionamento acabou! Com certeza vou me lembrar disso. Ok, vamos clarear as ideias. Te vejo em breve.
257.1|Caramba. Puta merda! Você se esforçou MUITO para que isso acontecesse. Adoro ver os relacionamentos da Madison acabarem. E você fez acontecer! Literalmente, de certa forma. Tudo bem, eles podem estar em baixa. Vamos terminar por enquanto. Te vejo em breve!
257.2|Ah... você fez a coisa certa. Obrigada. Acho que gostei bastante. Mas não conte comigo para esquecer todas as outras merdas que você fez hoje à noite. Aham. Acho que terminamos por aqui.
258|Certo. Porque eu obviamente vou largar tudo o que estou fazendo a QUALQUER momento para atender as ligações dela como um servo. Ok, diga a ela que já estou aí.
259|Ai, meu Deus! Como se não bastasse eu ter te flagrado se masturbando com aquele vídeo da Vickie Vixen semana passada... agora... isso? Porra, mulher, se controla. Quer dizer, a gente tem companhia, porra...
259.1|Ai... meu Deus, Madison, quer dizer, eu sei que às vezes você tem dificuldade de se controlar, mas, meu Deus, a gente vai dar uma festa.
260|Hum. Mais uma? Tá... Mas se isso for só mais uma desculpa para torturar o Sr. Pênis Ágil, eu não vou ficar feliz. Aquele pinguim já passou por muita coisa. Chego aí em um minuto.
261|É... sobre a Brittney. Ela tá meio que escondida no estúdio lá em cima. Ela apareceu usando uma blusa pelo menos três números menor que ela, e agora está pensando duas vezes na roupa que vai usar hoje à noite. Eu emprestaria algo meu a ela, mas acho que ela não tem nada que não a deixe entediada com sua enorme... uh... sabe... personalidade?
262|Amy? Bem, eu não a conheço muito bem, mas ela fala muito sobre como morava em Rhode Island. Acho que ela sente muita falta dele lá. Esqueci por que ela disse que se mudou. Algo sobre o prefeito? Não sei. Informações extras, se quer saber.
263|Hmmmm, ninguém me vem à mente, desculpe! Aposto que é uma garota, pelo menos de acordo com os boatos que ouço sobre a Brittney. Espera, isso significa que pode ser eu. Hmm. Nunca pensei em ficar com outra mulher antes, mas agora estou tendo uma espécie de crise existencial por causa disso. Vou... sentar e pensar um pouco. Boa conversa.
264|Onde você encontrou isso? Esta não é minha blusa.
265|E você está me dando isso? Nossa, obrigada. Quer dizer, eu adoraria a MINHA blusa de costas, mas se isso for o melhor que eu puder conseguir agora, eu aceito. É definitivamente melhor do que a minha situação atual, com certeza! Valeu, bonitão!
265.1|E você está me dando isso? Nossa, obrigada. Quer dizer, eu adoraria a MINHA blusa de costas, mas se isso for o melhor que eu puder conseguir agora, eu aceito. É definitivamente melhor do que a minha situação atual, com certeza! Embora eu ainda precise de mais uma peça neste quebra-cabeça se eu for sair desta sala, como você provavelmente pode perceber... e como eu posso perceber... pela sua cara!
266|Então, o que você acha? Não é exatamente o que eu tinha em mente para esta noite, mas dadas as circunstâncias, não é ruim... certo?
267|Ah, perfeito. Passa aqui... espera um minuto... Ah, merda, eu reconheço estas. Estas... estas são da Madison. Meu Deus, lembro-me de quando eu era obcecada por isto. Você encontrou isto no velho depósito da garagem, não é? Que ótimo! Não só vai resolver o meu problema, como a Madison vai ficar furiosa com isto. Eu não esperava que esta noite terminasse assim, e meio que nem espero que estas sirvam em mim, mas estou disposta a corajosamente considerar esta a minha roupa para o resto da noite só para ver a cara de idiota da Madison. Ok, como estou?

[Responses]
160a469e-02ba-49ab-b6e8-a29109c44da5|Que coincidência estranha!
d900b332-6f37-47a5-b58f-73512a0d0c25|Ei, eu avisei que estava vindo!
7d1f0872-01eb-49d7-8132-8ac6cf5d4393|Ok, claro, pegue. E... aqui estão suas roupas também.
d7d0ffca-1c24-441d-b63f-fcd244a3fb96|Chave? Que chave? Isso é, hum... oh, olha a hora! Preciso correr!
3e29d726-c5d6-41d0-bb0c-9f6d143b073d|Só quero ficar um pouco.
3d92fdc6-e0ee-470f-9971-76fd5abee93f|Preciso fazer sexo oral em você... deitar.
69b5a29d-3d75-484e-b959-b47a2166466b|Cavalgue na minha cara. É hora de nos provarmos...
d7a45623-777a-474f-8817-ec41b37e84db|Você ainda tem muita coisa aí embaixo! Me passa, eu cuido disso para você.
e1339c30-f3e9-4eb6-95ad-ec02e164026d|Só quero dizer que você está fazendo um ótimo trabalho aí.
aa416fd1-dc54-4984-93b0-16ea6b340542|E se eu dissesse que a melhor parte ainda está por vir... certo? É justo.
f0cf5002-513b-4f2d-88b8-ae85e7d672c3|Estou triste hoje. Isso é mais do que verdade. Sabe de uma coisa? Acho que meu pau não gosta de você!
e7258536-1475-4775-8860-b43a4e63be4c|Sobre o celular dela... Ela pode ter "perdido" isso. Esse seu plano pode esperar até que ela o encontre?
08b4d620-4708-4ce3-9ce3-298371bb91c7|Sobre o seu celular... Talvez eu o tenha "perdido". Esse seu plano pode esperar até eu encontrá-lo?
2c5e0149-3017-4adc-902e-bab6764d12f8|Volto em breve.
622d55d0-0cc3-4a9a-b9c5-591af638adfb|Eu te mostraria... mas não estou com meu celular. Aguarde!
7f625ab3-4e65-4696-a444-4f7f4c27397a|Deixa pra lá, podemos fazer a coisa do sapato.
3e5445fa-3c64-4931-b887-3c3b8a7c7f77|Acho que você está no caminho certo. O que será que vai acontecer agora?
cb8a4a80-7e3a-46a5-9396-3264f505fa25|Ela não é minha amiga de verdade, só estou usando ela para encontrar novos amigos.
2125c15b-543b-491d-966c-8ef223dd7ca0|É, a Brittney e eu somos muito próximas. Ela é uma garota incrível.
2db0a5d6-eef6-43ef-889e-63cc99ec7253|Farei isso... já. Deve ser nervosismo ou algo assim. É, só nervosismo!
5e990cf7-5c32-49c6-a6c2-fc2dc2c766f0|Sim!
2c770c55-b67c-448d-8f37-c5d005142e67|Cerveja, hein? Percebi!
46fa81ae-5543-47c4-82e7-60035850a365|Acho que é mais ou menos assim.
a16c65fb-8038-4dc1-9f9f-3d6275c50308|Só quero ficar um pouco.
02d4faf0-583f-491e-98a8-a20401ee5d31|Preciso fazer sexo oral em você... deitar.
233e21fb-6d7e-4ec8-904d-dfdf84292ab7|Está na hora de você colocar essa boca em mim.
69e204e9-7286-4407-a561-ac023736ddb8|Cavalgue na minha cara. Está na hora de nos provarmos...
97b21ad2-de48-4715-ba59-5d3c69f4b7fb|Deixa pra lá, isso é fantástico pra caralho!
0af1af17-0ad0-492f-87c2-3ae7f98817de|N-sem amante... isso é ótimo. Obrigada!
8aa8c717-b5d1-4d85-a131-cc3ada9b14e7|Puta merda... Não consigo me conter!!
066e5326-7722-4a15-ac8b-e8778311778d|Nossa missão exige que exploremos o armário de bebidas. Vamos lá!
7a700654-3172-46ba-800d-8b52be740ad7|Gostei daquele mirante. Te vejo lá!
9321a321-a3f4-48f2-9f3c-dec4e02d14ea|Além da lua e entre as estrelas, minha querida. Ou, pelo menos, em algum lugar lá fora, onde possamos vê-las.
e7e0f620-434b-4dba-bc5f-af4fe20cfb73|Vamos encontrar um lugar perto da música. Depois de você!
0e900a05-4599-4f71-a625-322eef51754a|Bem, acho que qualquer lugar é melhor do que aqui. Já que foi aqui que Patrick tossiu... alguma coisa, mais cedo.
4520dfd9-7ac6-4c7e-80ed-2fd537c15954|Esta casa não é muito grande, está tudo bem, está tudo bem! Vamos nos perder...
17985f4c-3cf9-4a81-b48e-eda8a7640b3c|Que comece o aquecimento!
cf9719c8-084b-4500-a5ad-2beb46a96392|Aqui. Bem aqui. Porque acabei de me lembrar de uma coisa. Volte logo!
4a97a60f-0da4-49e1-adf8-4d043a96bb2f|Concordo plenamente com você.
c52e853b-fe92-4a6b-b72b-dce553d222c1|Sinto-me julgada e não me importo. Não. Nem um pouco.
d73fa3f7-fe6d-46e4-8c8f-0e742157b8ac|Tudo bem, tudo bem. Vou ver o que posso fazer.
76c299b7-8986-4a5c-9098-e65f082b33b7|Você ouviu a moça. Ponto final... você não.
d8f6ab2a-6a00-4eb9-bde2-01129f927367|Dar à luz. Acho que fiquei com essa cãibra no dedo à toa. Ai, p-
c083292b-0787-426f-9506-19857176f3f0|Achei que isso fortaleceria o vínculo que formamos hoje à noite!
87233fa2-d7eb-4fb9-be71-99d4f4d971eb|A Madison odiaria!
5c52c22a-665e-4fd7-8065-1939df812ee6|Somos as três pessoas mais bonitas aqui. É óbvio!
348f7782-a7e5-427a-aeba-426e58c4b60f|É a Vickie, a Raposa Maldita!
b745b87c-ad9c-4d4e-8011-f0316023199a|Ok, eu respeito isso. Me dá um minuto para pensar. Parece bom, Vickie?
466b1784-75a1-4bc5-9a7f-74775ae6310a|...Droga.
ea18a4ac-42e4-4949-ad20-eecef0e377bb|Porque manteiga deixa tudo incrível? ...Não? Droga!
0f638519-15da-4a21-90ec-cb4aebaae18e|Espere, espere, estou ofendido! ...Ok, isso não ajuda em nada.
6c38a5c6-32ec-4bc0-bbd5-9ba5a883f2d8|Legal! Vickie, você acordou.
80825ad6-375b-4067-8087-d3a8c9c7b78d|Tudo em um dia de trabalho. Tchau.
de54ca8e-50b4-4f7e-92c8-875325748184|Vou avisá-la, Ashley.
4aad34ab-fad6-4957-9962-0b7a4a33f06e|*Pegadinha bem-sucedida!*
ce2a8b7a-007f-4ece-8360-baeb885f5172|*Continuar*
357a3e27-7740-4e75-b3eb-59135a213f15|Você vai adorar isso.
ed700e75-f522-44bb-8e99-044647b88d93|Ainda bem que trouxe uma blusa para ela. Obrigada, Ashley.
04d79781-8f6f-4c33-86df-264a85facf87|Obrigada, Ashley.
156f868c-3073-4cbb-8882-1988357f159b|Suas roupas estão estragadas, mas eu tinha esta sobrando.
35aa62de-ee6f-4419-9abf-40e688280707|De nada!
9580975e-4446-464e-bce4-e08df01e5bbe|Que tal isso?
0d51f255-31d2-4e0e-b7d2-94299f731ba0|Deixe-me ver se consigo encontrar algo para você.
00277fb3-592b-4438-b0f4-ffc2d3397d0f|Você está ótima.
3ede5e1b-4f3d-49d6-8b8a-e1fd3d630d0f|Você está ótima.
eb34c53f-b98b-4340-af06-fe1797796166|Que tal me retribuir com um pouquinho de língua no clitóris?
9b53aa85-8543-4d73-a63f-e62195062639|O que você acha da Brittney? Foi ela quem me convidou para vir aqui.
1f430685-521a-4d42-bf51-a3bf2b37f912|Olha você se afastando, Ashley! Vou procurar um novo lugar para relaxar. Quer se juntar a nós?
d094e44f-edaf-450e-a8af-3cc9c4495f2f|O que te excita mais, bolas grandes ou um pau grande?
7a626388-9428-49f4-a40e-a3a9fe43911e|A Madison disse que precisava de você quando tivesse um tempinho. Ela está lá em cima, no quarto dela.
733961de-fa62-4b38-899e-35e91f161669|Estamos organizando outra exposição de arte lá em cima. Você está interessado?
f9a9fceb-9ca7-4449-8b7b-a2d53ae36f63|Você sabe onde a Brittney está?
010ffab5-d1bb-45d6-9c9d-ca5dda3c9952|Você ouviu alguma coisa sobre a Amy?
1a7e0e16-ff57-4b7a-8101-65dfa8ab8cc5|Você ouviu alguma coisa na festa sobre a Brittney estar apaixonada?
147348e3-1917-4751-a55b-957e24afcd31|O que posso fazer para ganhar sua confiança?
3bbc6974-4901-4cae-9040-1259569dce8b|Claro, só me diga o que fazer.
9807d450-5edc-486a-bac9-984215aed402|Que é exatamente o que vamos fazer.
cd4906e7-beaa-436c-b629-c851af97595f|Eu poderia lavá-los para você!
b19cf5af-b536-47ca-a4ad-ed3b81588e17|Tire e ande sem camisa. Não me importo.
68dfbd09-3197-4490-ae34-5ee0e29efc34|Aceito o seu desafio!
3c9e38c5-6903-422e-baef-9ef801c48a4e|Na verdade, está bem aqui!
2d83081a-acba-45ae-b84c-3226952be5f1|Ops...
66bd173d-88f6-45fc-9596-0fc1bcfe3ffc|Ah, não. É o meu celular. Deveria ser igual ao dela.
53dcadb7-a199-4301-a038-e57c86469d39|E se for? O que te importa?
78ca8373-2150-49e8-bcc7-a5a5122cc2fb|Hum. Não há nada de errado em um cara gostar da cor rosa! Machista!
5d0cad0f-65a5-4501-bad0-941a433a11d8|Estou interessado. Continua
a9bd11d0-0639-4b18-85cc-91ff067a96ca|Não, não, obrigado. Não estou interessado.
2ee4ae17-4e18-4094-aadd-9f533acf9c36|Eu provavelmente não deveria me envolver nos seus joguinhos.
13ea1ab5-0692-46fb-8ec6-806fdc10406f|Conte comigo. O que você precisa que eu faça?
1e0965e3-bb81-4f75-bad2-200843836f69|Vou ver o que posso fazer.
32111746-30c4-4ac8-8800-e605e202c205|Ei, eu disse que faria!
89b41545-f10b-4589-ba25-8ca82360d8b7|Ei, eu disse que faria!
9e9e6bd7-6bde-4576-8999-46746a1338d1|Ei, eu disse que faria!
d38dd3b2-ed48-4927-9954-d9a1a538f05e|Ei, eu disse que faria isso!
dae06600-259e-4237-ae06-d422f1e83dc9|Mostre o caminho!
fede9cb4-2289-4462-bace-f56efaa19d9b|O prazer é meu!
67f17933-fdb9-4990-90e0-2ceceba5ac68|Ah, claro!
8ea2297e-4c75-46cc-871f-47eb25a357ab|*Continuar*
efc9caa2-af86-4ad2-b36b-b2e2047cbfd3|Meu Deus. Como isso aconteceu?
404ac620-8275-4da6-be5d-1d72d30fceb8|Claro! Já volto!
3f6cece2-4928-485d-8bc2-60959ad3fb93|Sem problemas!
10a26b22-d597-4680-8b8e-8a9d67d38d30|*Isso deve ser interessante*
126ff2a3-bba3-411c-b3e7-7a89becab96e|Não sei!
7701037e-d0a8-4493-a335-1925f94d1c6d|Uau! Que apresentação!
6d0f2a5f-6c3d-4ebf-8ab4-5b5bf494adf1|Certo. Fique assim. Aqui está a chave.
b5d57200-6e25-4708-9b84-fabb287187c0|Só te dou a chave se você ficar nua... e me der sua calcinha também.
26a4e46f-1cd5-4ba9-a7b7-0622cc74c22f|Parece um ótimo negócio!
510ca494-6861-43c0-a74f-1af190d131fa|Hehehe.
5be9afbc-a90c-4c7a-a2df-1f11fa5b4dd7|Ah, eu dou. Não se preocupe.
abc67b02-4d7b-40f5-8475-e7449187086a|Vamos ver, certo?
5dec9791-6d04-47c5-8ddf-f81686626cb4|Ótimo!
8c234981-1cbf-443c-95fa-d6997c9963a3|Ops.
c0448dda-ed87-477b-847c-81b7ecbcdad1|Agora é isso!
41509bb7-93da-4fe7-bad3-49909e26c939|Valeu a pena.
bcaa762a-8b1b-49a5-8ec2-46131ef68a96|Será que eu te peguei falando?
1108f7a3-a12c-4ea8-9377-0d3e7e88b74f|Foi ideia da Madison. Ela me obrigou a fazer isso para conseguir o número da Vickie.
c283db20-97b9-4d61-b727-337519a619e9|Eu sei que foi. Foi muita imaturidade da minha parte. Posso te compensar?
f18c4c10-d5fd-4169-a9bd-7336f89ec21c|Porque eu deixei minha moral no clube de cavalheiros.
b8b80afd-d3e4-4604-9ff1-c9ff5781b982|Eu... uh, eu estava tentando apertar! Desculpa! Fiquei nervoso, sério mesmo!
bd5b3ef4-d1aa-4dac-bb0b-f5dfd35f97ea|Bem, quando você coloca dessa forma...
3faf7094-053d-427e-a962-1d9869ffedd5|Ok, é justo.
a700157a-a854-4b01-9485-87aa1ca07c8a|Você deve ter um sono pesado...
15c24879-0eba-45c6-9f84-eb93af7f4c7f|Perfeito!
d9570ee2-9825-4f94-9cde-f94a2fda83a7|Você tem razão, desculpe!
8b7f8929-fe4d-48b2-b2cc-b761a5669de3|Droga...
12903dfb-3c8e-490f-a38c-e7926f1298cb|Agora é isso!
bfb360c1-7e5a-4765-87f6-d3b8a10fba07|Agora sim, a piada voltou!
4c9a046f-03e0-4cde-b635-6906880517c9|Sem problemas!
acb2aad7-61eb-4dfb-969f-6be7e4ca7f29|Perfeito!
da99cc8e-3fc2-4cfe-9f44-5b1b27b00524|É para o Derek tirar a camisa.
017ff312-3ceb-4226-a342-d89f169dc862|É para legalizar a maconha para uso recreativo.
87809d6b-1e36-4b2c-9de7-a98c4710487a|Muito bem então.
0f227210-bf97-414d-bc5b-f95d987b086a|Ops...
d7893948-7316-4b0a-af83-5e9bf1ff3882|Ops. Meus sentimentos...
9d482039-b4b5-4794-8a12-8aea3c5a8314|Nossa, eu estava brincando!
e6df7fe7-9e65-4382-ba9d-c538078d38fd|Ah, é mesmo...
043ad31e-70ce-4e21-a1f0-5e7c6826b9ad|Gosto do seu jeito de pensar.
1355e5bd-72e1-4cb9-abdd-ac682bba405b|Já devolvi o telefone para a Madison...
a82696f2-2762-458a-b78f-afec430386b5|Vou ver o que posso fazer.
b29e09d2-1c00-45c9-903a-85889544a403|Do que você está falando?
183ba273-421f-4f83-95f5-98babb0c601f|Então você tem o código, e eu tenho o telefone... e agora?
52dd4c38-b9bf-4c3c-8693-09aa3c61b705|Oi, Patrick.
e2e04bf3-c669-4c47-9e2b-05aa863c659e|É, estávamos falando de filmes pós-modernos.
12d59809-49fb-4a81-a33a-ca6d35ba4d76|Bem, até breve.
ef554920-ac96-4807-872a-95d4f30f92c1|Entendido, até breve.
c0312cd7-f5c3-4f30-8048-075668962ef2|Tem, uh, um incêndio. No seu quarto.
34c5a4bb-98cf-45ca-9fc5-e5b3b3ed5a08|O apocalipse zumbi começou.
61914fd9-1260-4698-84e9-79280ab8449a|Jaula onde não deveria.
082855f3-3281-44d9-885b-3093e21a3dbd|Verdade. Super sério.
c0d54b72-51c1-4157-814f-e14f17f1a60c|Um monte de fotos nuas.
ee8eca91-8b34-4b37-a464-0ccaa37b9273|Ah, nada. Desculpe.
0ca5b67e-a3a3-42c3-aba4-960a7ed54942|Ok. Ok.
694da1e2-f1a4-4b9f-b40c-201e53ae7fe8|Ok, ok.
ca5773e5-1373-44f6-b032-0769eeb91633|Olha aqui.
1e68d72b-c40b-434d-a659-4a6bdd24c3f1|O que você está pensando?
bb4de63b-fa9a-48e2-80ab-a4dc7947bf45|Entendido
940d0766-6430-41da-bef6-a8c72b7727f8|É, era isso que eu queria dizer!
14abc5ab-e4f4-40ce-bdfd-696628aa3e8c|*Ouça*
ce208d19-0fff-47a2-bf4c-621d8ecbee37|Estamos tentando ser bons amigos!
0ec40d4d-8886-4f66-869e-bbb2efed1e36|*Ouça*
8ca2f638-c91d-4c33-847f-717841b31ad4|É segredo, Vickie.
37b554de-ac9d-4840-bfe1-c104183307e2|Ouça! Derek e Madison definitivamente poderiam transar hoje à noite.
c45f7894-39f9-428a-a87c-91392bfa99a5|O diário continha mais do que apenas códigos. Eles já fizeram sexo antes.
db871996-2593-41b5-a23f-3486b6fdc214|Por que não você?
c14b07fa-b30e-4943-bf0e-211e22928acc|Parece bom, como vou saber quando vocês dois estiverem prontos?
5cb16903-2c1a-4ad5-aba3-1e72a2a98228|Tem razão, vou te levar lá para cima.
5e1f9e48-4e0c-4e9d-b2d9-0d9a7e2f21e8|E o sinal?
896d7683-82c0-4809-a4e1-9efcd827d1da|Nossa, parece bom. Eu consigo.
be54a3f9-b38c-4a0f-8e61-f25b389e19b5|Não, quero um sinal diferente.
3de4c184-d05c-4b3c-ae5b-aaa328c1e75d|Vou gritar como um pássaro.
f61b0108-9f00-4404-9cd0-adc3531384dc|Não, ok, a coisa da camisa.
95148294-b0e5-4c86-928a-4f6c0c088f86|Vai em frente!
e79e03d5-a02c-43d1-b344-e9b26554a09f|Fale baixo!
6b688db2-c1fc-4af4-85b4-2cc317f29400|Derek, isso é sacanagem!
1d94e588-906e-4c4b-acd3-5f3bc7133091|*Escute*
ce685e94-14ce-443a-ab7b-d5095c89a4b5|Gostei do som.
65734cb5-1c9a-4fe8-90da-b6bf15b06fe3|Acho que consigo fazer isso.
01248673-86e4-4471-82c0-d4286ae16a7c|Acho que é justo se algumas das minhas roupas também começarem a cair.
ef9d42e4-19c2-4982-babb-a194caae18f8|Então você tem o código e eu tenho o telefone... e agora?
09e64463-b52b-4a02-86ba-3c4a46442b64|*Suspiro* Acho que tenho que fazer isso.
f7eb9f10-971e-48b6-b042-b22aa981f729|Derek!
a2a85ce9-1e2b-4bb9-8a7f-6396375bec45|Quem você tinha em mente?
de6d6468-50cf-4e4d-86d4-7a4e637238c3|Parece bom.
87430026-56c8-4f99-9599-f9bda948c957|Só pensando!
92040fb8-6479-4b25-8647-2eaf28928208|E eu?
ec128d81-a731-4fe6-9dca-87e896c25e93|Vou dar uma olhada por aqui.
6195438a-5936-4096-aebf-844d1ac866d1|Vou dar uma olhada por aqui.
3ec1363e-9e92-4413-9d6a-8aba3fd5a9d2|Te peguei.
b07cccd2-c4ca-4690-bed4-95ec88e38f3f|Não consigo evitar, isso é muito sexy.
322df6fa-7c2f-47af-84b9-dd0d4569174e|Desculpe, preciso fazer isso.
b9072a8e-5629-4e6a-97b4-81e10636e895|Obrigada, Ashley!
a5beb37f-474d-4991-a025-0a37839f795c|Ops!
d83e4902-8d94-4056-bc98-b8a276361c0f|Coapresentador então.
69c6f33a-3c08-4792-888d-7884fc28438d|Me deixa entrar!
504a08c3-6ee8-47c6-bf2c-143b431d4b9b|Droga, desculpa.
63d0e714-2e61-4dc9-be73-1fba704ede86|Cara, eu tô bem.
7e197783-ab52-4ec3-addb-3d5798059841|Brincadeira, esse look está na moda agora!
ad49b54e-7b70-4135-b634-0b1be939422d|Está... quente lá fora! Eu sabia que a opção do pássaro seria menos confusa...
89227b04-087c-46e3-b1af-73550693fb28|Ok, ok.
2edac4f1-f024-4347-9007-d16e2a70c11b|Sim, te aviso.
46baf416-69ef-4829-b196-d77b54b4c051|Bem, isso te tirou daquela conversa...
bc0ae3df-ff1a-4b2f-b399-95f1f8169d57|Acho que você está começando a entender alguma coisa.
63c086d4-e35d-4c3d-afb6-b609a3fc2c4f|Ok, ok. Aqui está.
63cf62f1-4ff7-4224-a778-bffc095b12b6|Desculpe, não sei do que você está falando. Tchau!
b5f2ed97-67c0-41cb-96a3-bc1244ec41bd|Desculpe, não sei do que você está falando. Tchau!
9f32fff5-ef6c-488c-bc18-371f11034c94|Claro, me tira do seu caminho, coitada!
dc4096bf-a4e2-4d42-b161-62f1debf6cfa|Meu estilo é cachorrinho.
6a846ff0-4163-4702-bf73-85dbbd48ad82|Missionário clássico...
608c374a-fba7-4061-9bf9-2d800499ec66|Cavalgue, cowgirl.
95766a4d-be00-4324-811a-7e79300a7eff|Em que ano fomos à Lua mesmo?
a77a1620-3ee4-405c-970a-e04f0f610686|Aí vou eu.
625d1edf-096a-4af8-9b41-6afe49d9e331|É o telefone da Madison. Uma mensagem de voz!
b8ec5473-1712-40b7-a58d-3489135407fe|Claro, deixa eu atender.
0f680ddd-85dd-4356-a281-ad1b82172ff2|Ai, meu Deus!
f911be7b-837d-49cc-ad5b-7a872b0f882f|Com certeza te aviso, Ashley.
da30a527-0902-424f-bd60-fc8e3ae4a618|Estou bem atrás de você.
4df55bfa-19f0-402e-a9dd-e4c4fd843c2e|Entendo. Falo com você em breve.
ed59e339-b0c3-415a-a566-4e39ae31979e|É, que se foda a Madison!
79fa4b3f-3941-4872-b0d1-622c7eb812b1|Talvez eu consiga continuar bebendo mais do que esse total com mais álcool.
